x,y,z,r,g,b
-0.884987,-1.455381,1.809316,95,94,94
-0.862390,-1.432641,1.781046,93,93,92
-0.839055,-1.408193,1.750652,93,93,90
-0.819251,-1.389227,1.727075,90,89,91
-0.788191,-1.350575,1.679022,92,87,88
-0.751039,-1.300553,1.616836,93,90,89
-0.719822,-1.259849,1.566233,93,91,89
-0.699299,-1.237183,1.538054,89,87,92
-0.672568,-1.202917,1.495455,110,109,121
-0.640016,-1.157365,1.438825,177,182,168
-0.638303,-1.167187,1.451036,206,213,204
-0.625848,-1.157365,1.438825,196,197,191
-0.639854,-1.196811,1.487864,136,143,151
-0.814741,-1.616456,2.009564,54,54,54
-0.667956,-1.375335,1.709804,10,8,13
-0.578773,-1.222520,1.519826,9,9,11
-0.554054,-1.185634,1.473969,9,9,10
-0.524202,-1.136641,1.413061,10,8,8
-0.508146,-1.116646,1.388203,8,9,9
-0.490363,-1.092258,1.357885,10,10,8
-0.473340,-1.068913,1.328863,10,8,10
-0.455585,-1.043238,1.296944,10,8,10
-0.434639,-1.009420,1.254902,9,8,7
-0.424051,-0.999033,1.241988,10,7,7
-0.422541,-1.010038,1.255670,9,8,8
-0.429501,-1.041920,1.295306,8,7,6
-0.425272,-1.047210,1.301881,8,6,6
-0.415697,-1.039296,1.292043,8,7,6
-0.407284,-1.034086,1.285567,8,5,5
-0.395993,-1.021288,1.269656,7,7,8
-0.383571,-1.005117,1.249552,8,7,8
-0.371536,-0.989450,1.230075,9,7,10
-0.355256,-0.961773,1.195667,9,7,6
-0.345743,-0.951789,1.183255,8,8,6
-0.333381,-0.933485,1.160500,8,7,8
-0.320418,-0.912833,1.134825,9,7,7
-0.312069,-0.904826,1.124871,9,8,8
-0.304196,-0.897934,1.116303,9,8,9
-0.297729,-0.895012,1.112671,14,9,9
-0.286350,-0.876941,1.090204,17,11,10
-0.278614,-0.869548,1.081014,18,11,11
-0.269598,-0.857797,1.066406,17,13,10
-0.263254,-0.854245,1.061990,18,11,11
-0.258159,-0.854688,1.062540,17,13,12
-0.253848,-0.857797,1.066406,17,12,11
-0.250289,-0.863633,1.073660,18,14,11
-0.245388,-0.864991,1.075348,16,13,10
-0.240472,-0.866353,1.077042,19,12,10
-0.235169,-0.866353,1.077042,14,13,11
-0.230472,-0.868633,1.079876,15,13,8
-0.225392,-0.869548,1.081014,16,13,10
-0.219607,-0.867719,1.078741,18,12,11
-0.213623,-0.864991,1.075348,17,13,11
-0.207026,-0.859584,1.068627,17,13,10
-0.204104,-0.869548,1.081014,16,13,12
-0.199835,-0.874154,1.086740,17,13,11
-0.195833,-0.880214,1.094274,20,12,11
-0.193647,-0.895012,1.112671,19,12,10
-0.191704,-0.911824,1.133572,16,14,11
-0.189260,-0.927192,1.152677,19,14,11
-0.187805,-0.948507,1.179175,20,14,10
-0.186942,-0.974263,1.211195,19,13,11
-0.184020,-0.990637,1.231551,16,15,12
-0.179901,-1.001457,1.245003,17,14,11
-0.172723,-0.995417,1.237494,18,14,14
-0.165632,-0.989450,1.230075,17,14,11
-0.158436,-0.982382,1.221288,17,13,11
-0.150807,-0.971968,1.208342,16,14,11
-0.142674,-0.957310,1.190119,18,14,12
-0.135556,-0.948507,1.179175,16,14,10
-0.128131,-0.936664,1.164452,18,13,12
-0.121433,-0.929280,1.155273,20,14,12
-0.114456,-0.918932,1.142408,17,14,13
-0.107990,-0.911824,1.133572,19,13,11
-0.101735,-0.905819,1.126106,17,13,12
-0.094940,-0.894042,1.111465,19,14,11
-0.024280,-0.424268,0.527446,24,25,24
-0.021583,-0.422314,0.525016,24,24,22
-0.018930,-0.420806,0.523142,24,25,26
-0.016280,-0.418884,0.520752,27,26,24
-0.013613,-0.415718,0.516817,25,25,27
-0.010980,-0.412394,0.512685,24,25,24
-0.008418,-0.410548,0.510389,24,25,26
-0.005887,-0.409326,0.508870,24,25,24
-0.003377,-0.408718,0.508114,23,24,24
-0.000875,-0.408313,0.507611,26,25,26
0.001624,-0.408111,0.507360,27,25,24
0.004128,-0.408718,0.508114,26,26,27
0.006642,-0.409529,0.509123,26,25,26
0.009172,-0.410548,0.510389,26,27,25
0.011690,-0.410752,0.510643,27,25,25
0.014218,-0.411161,0.511152,25,26,25
0.016735,-0.411161,0.511152,26,24,25
0.019261,-0.411366,0.511407,26,23,24
0.021801,-0.411777,0.511917,27,23,24
0.024333,-0.411983,0.512173,27,25,26
0.026868,-0.412188,0.512429,26,23,23
0.029376,-0.411983,0.512173,25,25,25
0.031818,-0.410957,0.510898,24,25,24
0.034283,-0.410344,0.510135,26,25,23
0.036685,-0.409123,0.508618,26,23,28
0.039111,-0.408313,0.507611,24,23,24
0.041487,-0.407105,0.506109,25,24,28
0.043827,-0.405704,0.504367,25,25,21
0.046174,-0.404510,0.502883,25,25,24
0.048413,-0.402537,0.500430,25,25,25
0.050679,-0.400972,0.498485,24,24,25
0.052979,-0.399807,0.497036,23,24,21
0.055265,-0.398648,0.495595,24,25,22
0.057538,-0.397496,0.494163,25,25,21
0.059798,-0.396350,0.492739,24,24,23
0.062105,-0.395590,0.491794,26,24,24
0.064280,-0.394079,0.489915,26,25,24
0.066755,-0.394456,0.490384,25,24,24
0.069103,-0.394079,0.489915,24,26,23
0.071311,-0.392953,0.488515,26,23,25
0.073506,-0.391833,0.487124,26,24,24
0.075617,-0.390351,0.485280,25,24,23
0.077566,-0.388147,0.482541,25,23,24
0.079271,-0.384889,0.478490,23,25,25
0.081022,-0.382038,0.474946,22,25,23
0.082671,-0.378880,0.471020,25,24,24
0.084524,-0.376804,0.468439,26,26,22
0.086123,-0.373732,0.464621,25,25,25
0.087695,-0.370710,0.460864,25,22,22
0.089243,-0.367737,0.457167,24,24,24
0.090765,-0.364810,0.453529,24,26,25
0.092426,-0.362566,0.450739,25,23,23
0.094231,-0.360980,0.448767,25,26,24
0.095937,-0.359095,0.446424,26,24,25
0.097710,-0.357539,0.444490,24,24,26
0.099639,-0.356612,0.443337,24,23,21
0.101646,-0.355997,0.442572,23,23,25
0.103646,-0.355384,0.441810,26,24,24
0.105639,-0.354773,0.441050,24,24,28
0.107718,-0.354468,0.440671,24,23,23
0.109793,-0.354164,0.440293,25,25,25
0.111961,-0.354164,0.440293,24,24,23
0.114031,-0.353860,0.439915,24,23,25
0.116097,-0.353557,0.439538,26,24,23
0.118160,-0.353254,0.439162,26,26,22
0.120116,-0.352650,0.438411,25,23,23
0.121651,-0.350851,0.436174,25,23,23
0.123066,-0.348775,0.433594,27,25,25
0.124568,-0.347015,0.431405,30,27,24
0.126268,-0.345851,0.429959,31,29,24
0.127742,-0.344121,0.427807,29,27,24
0.129524,-0.343262,0.426740,30,26,22
0.131844,-0.343834,0.427451,28,25,23
0.134397,-0.344984,0.428881,28,22,22
0.136737,-0.345562,0.429599,27,25,19
0.139085,-0.346141,0.430320,27,24,22
0.141679,-0.347307,0.431769,28,23,20
0.143926,-0.347599,0.432132,25,23,20
0.146547,-0.348775,0.433594,25,23,20
0.148934,-0.349365,0.434328,25,23,20
0.151586,-0.350553,0.435804,22,21,22
0.153862,-0.350851,0.436174,25,23,23
0.156142,-0.351149,0.436546,22,24,24
0.158291,-0.351149,0.436546,24,24,21
0.161126,-0.352650,0.438411,23,24,24
0.163564,-0.353254,0.439162,23,23,23
0.165726,-0.353254,0.439162,25,23,23
0.167601,-0.352650,0.438411,26,23,23
0.169760,-0.352650,0.438411,25,23,24
0.171771,-0.352349,0.438037,23,21,23
0.173631,-0.351748,0.437290,26,23,24
0.175784,-0.351748,0.437290,22,22,21
0.177786,-0.351448,0.436917,23,24,25
0.179478,-0.350553,0.435804,23,23,25
0.181470,-0.350255,0.435434,23,24,22
0.182992,-0.349070,0.433960,25,22,25
0.184504,-0.347892,0.432497,22,24,22
0.186162,-0.347015,0.431405,24,23,24
0.187813,-0.346141,0.430320,24,24,23
0.189296,-0.344984,0.428881,24,23,23
0.190610,-0.343547,0.427095,24,22,26
0.192233,-0.342691,0.426031,25,24,25
0.193687,-0.341557,0.424620,23,22,24
0.195293,-0.340711,0.423568,24,24,23
0.197052,-0.340149,0.422870,24,21,23
0.199299,-0.340429,0.423219,23,22,21
0.201051,-0.339869,0.422522,24,22,23
0.203131,-0.339869,0.422522,24,22,24
0.204537,-0.338752,0.421134,23,21,24
0.206610,-0.338752,0.421134,22,23,20
0.209027,-0.339310,0.421827,23,21,25
0.211104,-0.339310,0.421827,23,22,20
0.213005,-0.339031,0.421480,24,21,25
0.214551,-0.338197,0.420444,23,22,20
0.216621,-0.338197,0.420444,22,23,23
0.217799,-0.336817,0.418727,21,24,24
0.218611,-0.334903,0.416348,22,22,20
0.219947,-0.333819,0.415001,24,22,22
0.221452,-0.333011,0.413996,24,23,23
0.222771,-0.331939,0.412664,23,20,23
0.223902,-0.330609,0.411011,21,22,22
0.225564,-0.330080,0.410353,21,21,22
0.227767,-0.330345,0.410681,24,21,22
0.229605,-0.330080,0.410353,23,22,24
0.230886,-0.329027,0.409044,23,23,25
0.232715,-0.328765,0.408718,21,21,22
0.234540,-0.328504,0.408393,24,22,20
0.236928,-0.329027,0.409044,21,19,21
0.238942,-0.329027,0.409044,20,22,20
0.240572,-0.328504,0.408393,21,21,22
0.242776,-0.328765,0.408718,22,21,20
0.244983,-0.329027,0.409044,20,20,24
0.247194,-0.329290,0.409370,22,22,21
0.249210,-0.329290,0.409370,23,22,22
0.250625,-0.328504,0.408393,21,20,20
0.253039,-0.329027,0.409044,22,21,22
0.255869,-0.330080,0.410353,22,22,22
0.258717,-0.331140,0.411670,23,21,19
0.260744,-0.331140,0.411670,22,20,21
0.263617,-0.332207,0.412996,19,22,22
0.266293,-0.333011,0.413996,22,21,20
0.268983,-0.333819,0.415001,23,19,19
0.271026,-0.333819,0.415001,21,21,20
0.272628,-0.333280,0.414330,20,20,21
0.274225,-0.332742,0.413662,23,21,21
-1.645025,-1.396001,1.746183,74,72,67
-1.630876,-1.391264,1.740258,75,72,73
-1.623686,-1.392445,1.741736,71,73,71
-1.615111,-1.392445,1.741736,76,73,74
-1.609268,-1.394813,1.744698,72,73,71
-1.600678,-1.394813,1.744698,75,74,74
-1.594801,-1.397190,1.747670,68,73,71
-1.586197,-1.397190,1.747670,75,72,65
-1.577592,-1.397190,1.747670,77,74,73
-1.570326,-1.398381,1.749160,74,72,66
-1.560384,-1.397190,1.747670,65,64,63
-1.553102,-1.398381,1.749160,50,53,56
-1.544491,-1.398381,1.749160,35,35,40
-1.534571,-1.397190,1.747670,36,34,39
-1.524668,-1.396001,1.746183,48,45,41
-1.517362,-1.397190,1.747670,62,58,51
-1.508758,-1.397190,1.747670,70,61,60
-1.497603,-1.394813,1.744698,68,68,58
-1.490280,-1.396001,1.746183,64,66,57
-1.481683,-1.396001,1.746183,58,59,50
-1.474341,-1.397190,1.747670,55,55,50
-1.469492,-1.400769,1.752147,55,53,51
-1.459619,-1.399574,1.750652,63,61,63
-1.451000,-1.399574,1.750652,77,71,66
-1.439924,-1.397190,1.747670,80,79,74
-1.431320,-1.397190,1.747670,75,75,75
-1.422715,-1.397190,1.747670,74,69,72
-1.414111,-1.397190,1.747670,72,67,63
-1.405507,-1.397190,1.747670,65,63,62
-1.393342,-1.393628,1.743215,61,58,56
-1.381239,-1.390085,1.738784,73,73,65
-1.365734,-1.383053,1.729987,88,87,81
-1.352655,-1.378404,1.724172,86,86,85
-1.344167,-1.378404,1.724172,78,78,78
-1.335678,-1.378404,1.724172,74,74,75
-1.329424,-1.380724,1.727075,76,73,69
-1.326504,-1.386560,1.734374,79,74,71
-1.317965,-1.386560,1.734374,78,76,74
-1.317220,-1.394813,1.744698,75,77,77
-1.316467,-1.403166,1.755145,76,78,77
-1.300041,-1.394813,1.744698,84,84,79
-1.269855,-1.371489,1.715522,89,86,87
-1.266705,-1.377247,1.722724,88,89,90
-1.264594,-1.384220,1.731447,91,88,90
-1.272173,-1.401966,1.753645,88,88,91
-1.262460,-1.400769,1.752147,89,90,93
-1.248503,-1.394813,1.744698,90,88,91
-1.234664,-1.388908,1.737311,89,90,87
-1.216838,-1.378404,1.724172,89,90,92
-1.199279,-1.368057,1.711230,94,92,93
-1.187882,-1.364643,1.706959,91,90,92
-1.182429,-1.368057,1.711230,95,90,97
-1.177934,-1.372636,1.716958,93,94,92
-1.177363,-1.381888,1.728530,94,93,95
-1.169839,-1.383053,1.729987,94,92,96
-1.162301,-1.384220,1.731447,93,92,90
-1.155728,-1.386560,1.734374,90,93,97
-1.143323,-1.381888,1.728530,93,95,94
-1.131952,-1.378404,1.724172,95,90,96
-1.121578,-1.376091,1.721279,94,94,91
-1.110310,-1.372636,1.716958,95,91,95
-1.105557,-1.377247,1.722724,92,93,97
-1.097076,-1.377247,1.722724,96,96,96
-1.089509,-1.378404,1.724172,96,96,96
-1.084666,-1.383053,1.729987,97,94,95
-1.085300,-1.394813,1.744698,99,96,97
-1.078545,-1.397190,1.747670,93,97,98
-1.073599,-1.401966,1.753645,90,96,99
-1.067703,-1.405570,1.758153,93,98,99
-1.059047,-1.405570,1.758153,98,94,94
-1.054911,-1.411618,1.765718,100,96,94
-1.050739,-1.417719,1.773349,95,98,94
-1.046531,-1.423872,1.781046,98,96,101
-1.039567,-1.426348,1.784143,96,95,98
-1.028993,-1.423872,1.781046,98,98,97
-1.014939,-1.416494,1.771817,98,97,100
-1.005347,-1.415272,1.770289,98,97,94
-0.993204,-1.410405,1.764200,98,94,97
-0.980304,-1.404367,1.756648,99,95,98
-0.971655,-1.404367,1.756648,96,95,96
-0.949192,-1.384220,1.731447,95,94,94
-0.946257,-1.392445,1.741736,94,99,99
-0.948960,-1.409193,1.762684,92,92,90
-0.946789,-1.418945,1.774883,81,81,85
-0.932404,-1.410405,1.764200,66,70,80
-0.925310,-1.412834,1.767239,64,66,72
-0.920574,-1.418945,1.774883,72,74,79
-0.926258,-1.441389,1.802957,94,91,94
-0.926336,-1.455458,1.820554,96,94,96
-0.918188,-1.456750,1.822171,96,96,97
-0.909217,-1.456750,1.822171,92,98,97
-0.890753,-1.441389,1.802957,94,90,94
-0.868144,-1.418945,1.774883,91,94,96
-0.844073,-1.393628,1.743215,95,92,97
-0.823595,-1.373786,1.718396,99,92,90
-0.809036,-1.363508,1.705540,91,92,92
-0.779263,-1.327104,1.660004,94,91,90
-0.739960,-1.273525,1.592985,93,91,90
-0.705813,-1.227770,1.535752,89,90,91
-0.686940,-1.207880,1.510872,91,92,90
-0.670613,-1.192079,1.491108,92,94,98
-0.644535,-1.158404,1.448986,146,145,143
-0.637402,-1.158404,1.448986,205,206,198
-0.616339,-1.132804,1.416964,211,209,204
-0.626675,-1.164986,1.457219,167,172,175
-0.814343,-1.605776,2.008580,77,75,72
-0.788627,-1.574185,1.969064,66,59,53
-0.546206,-1.161686,1.453091,10,8,12
-0.524202,-1.129684,1.413061,9,9,10
-0.509180,-1.112068,1.391027,10,8,8
-0.490039,-1.084855,1.356987,11,9,7
-0.469992,-1.054856,1.319463,9,7,8
-0.407486,-1.012531,1.266521,8,7,6
-0.400262,-1.010037,1.263402,9,5,6
-0.389248,-0.997750,1.248032,7,6,5
-0.375341,-0.977533,1.222744,10,6,8
-0.363260,-0.961489,1.202676,9,7,6
-0.339478,-0.928823,1.161815,10,8,6
-0.331133,-0.921517,1.152677,10,7,7
-0.319711,-0.905243,1.132320,10,7,7
-0.311386,-0.897320,1.122409,9,8,6
-0.303207,-0.889534,1.112671,10,8,9
-0.296443,-0.885692,1.107864,12,9,9
-0.284836,-0.866966,1.084442,15,11,8
-0.277153,-0.859696,1.075348,18,11,9
-0.268900,-0.850337,1.063642,16,12,11
-0.263254,-0.849017,1.061990,17,12,10
-0.258560,-0.850778,1.064193,18,11,11
-0.254908,-0.856107,1.070858,18,14,10
-0.251209,-0.861502,1.077607,19,14,12
-0.246421,-0.863316,1.079876,19,12,9
-0.240725,-0.861955,1.078174,18,12,8
-0.234554,-0.858796,1.074222,16,12,11
-0.229867,-0.861050,1.077042,16,13,12
-0.224682,-0.861502,1.077607,16,12,9
-0.218459,-0.857898,1.073099,18,12,11
-0.212287,-0.854323,1.068627,17,13,11
-0.205634,-0.848578,1.061441,16,13,10
-0.202292,-0.856554,1.071418,18,12,11
-0.198051,-0.861050,1.077042,17,13,12
-0.193971,-0.866509,1.083869,17,13,10
-0.191569,-0.879990,1.100732,17,14,10
-0.188989,-0.893410,1.117519,18,13,9
-0.186123,-0.906243,1.133572,17,13,12
-0.185040,-0.928823,1.161815,18,12,14
-0.184976,-0.958119,1.198461,17,12,9
-0.182270,-0.975208,1.219836,16,13,11
-0.177957,-0.984574,1.231551,20,13,12
-0.170868,-0.978700,1.224203,19,14,10
-0.163863,-0.972895,1.216942,19,14,11
-0.156756,-0.966019,1.208342,19,14,10
-0.149574,-0.958119,1.198461,18,14,12
-0.141851,-0.945963,1.183255,19,13,12
-0.134628,-0.936245,1.171098,17,14,13
-0.126978,-0.922554,1.153973,20,14,11
-0.120618,-0.917394,1.147519,18,14,12
-0.114202,-0.911278,1.139869,20,13,12
-0.108110,-0.907246,1.134825,16,14,12
-0.102183,-0.904245,1.131072,22,13,12
-0.095250,-0.891468,1.115089,19,15,10
-0.027170,-0.426274,0.533203,26,25,26
-0.024242,-0.421022,0.526634,26,26,28
-0.021550,-0.419086,0.524212,25,27,28
-0.018902,-0.417592,0.522343,25,25,28
-0.016255,-0.415687,0.519961,24,25,25
-0.013592,-0.412550,0.516037,26,24,27
-0.010974,-0.409665,0.512429,24,25,27
-0.008414,-0.407832,0.510135,26,25,29
-0.005882,-0.406417,0.508366,26,26,26
-0.003372,-0.405613,0.507360,25,25,24
-0.000873,-0.405213,0.506859,27,25,25
0.001621,-0.405013,0.506609,25,24,24
0.004122,-0.405613,0.507360,26,24,23
0.006636,-0.406619,0.508618,26,24,22
0.009163,-0.407629,0.509882,25,24,23
0.011684,-0.408035,0.510389,26,23,25
0.014211,-0.408441,0.510898,24,24,24
0.016735,-0.408645,0.511152,27,25,28
0.019252,-0.408645,0.511152,25,24,24
0.021801,-0.409257,0.511917,26,25,23
0.024321,-0.409257,0.511917,27,24,23
0.026828,-0.409053,0.511662,26,24,25
0.029332,-0.408849,0.511407,24,24,25
0.031771,-0.407832,0.510135,23,25,23
0.034231,-0.407225,0.509376,25,25,21
0.036630,-0.406015,0.507863,24,24,20
0.039053,-0.405213,0.506859,26,25,24
0.041405,-0.403816,0.505112,23,23,24
0.043806,-0.403022,0.504119,26,24,27
0.046129,-0.401641,0.502391,25,23,26
0.048319,-0.399294,0.499456,25,25,24
0.050581,-0.397745,0.497518,26,24,24
0.052876,-0.396591,0.496075,27,24,27
0.055212,-0.395825,0.495117,25,24,20
0.057483,-0.394683,0.493687,24,25,23
0.059684,-0.393169,0.491794,24,24,23
0.061927,-0.392041,0.490384,25,26,25
0.064096,-0.390548,0.488515,23,23,25
0.066501,-0.390548,0.488515,26,24,26
0.068775,-0.389805,0.487587,26,25,28
0.071108,-0.389435,0.487124,24,23,24
0.073436,-0.389066,0.486661,24,23,21
0.075617,-0.387961,0.485280,26,24,23
0.077639,-0.386135,0.482995,26,21,24
0.079345,-0.382890,0.478937,24,23,24
0.080947,-0.379348,0.474506,24,23,24
0.082671,-0.376561,0.471020,23,25,26
0.084447,-0.374156,0.468012,24,24,23
0.086045,-0.371109,0.464200,26,26,24
0.087617,-0.368111,0.460450,23,24,23
0.089322,-0.365812,0.457575,25,25,24
0.090926,-0.363220,0.454332,25,24,23
0.092426,-0.360347,0.450739,25,23,24
0.094314,-0.359085,0.449160,24,23,25
0.096021,-0.357208,0.446813,26,24,23
0.097710,-0.355351,0.444490,24,25,24
0.099639,-0.354430,0.443337,23,24,26
0.101734,-0.354124,0.442954,24,24,25
0.103735,-0.353513,0.442191,25,23,25
0.105730,-0.352905,0.441430,24,22,25
0.107718,-0.352298,0.440671,23,23,25
0.109888,-0.352298,0.440671,22,24,26
0.111961,-0.351996,0.440293,25,23,24
0.114031,-0.351694,0.439915,24,25,24
0.116097,-0.351393,0.439538,29,25,22
0.118160,-0.351092,0.439162,25,23,26
0.119911,-0.349894,0.437663,25,26,21
0.121444,-0.348111,0.435434,26,24,24
0.122962,-0.346347,0.433227,30,24,24
0.124464,-0.344601,0.431043,30,27,21
0.126056,-0.343159,0.429239,30,26,21
0.127423,-0.341161,0.426740,27,26,25
0.129309,-0.340594,0.426031,29,24,22
0.131625,-0.341161,0.426740,29,25,23
0.134397,-0.342872,0.428881,29,24,22
0.136737,-0.343447,0.429599,26,25,19
0.139319,-0.344601,0.431043,28,23,22
0.141918,-0.345763,0.432497,26,21,18
0.144047,-0.345763,0.432497,24,22,23
0.146671,-0.346933,0.433960,25,25,22
0.148934,-0.347227,0.434328,23,23,19
0.151457,-0.348111,0.435434,22,23,24
0.153731,-0.348407,0.435804,25,23,24
0.156009,-0.348703,0.436174,23,23,25
0.158291,-0.349000,0.436546,22,24,21
0.160989,-0.350192,0.438037,24,22,24
0.163424,-0.350791,0.438786,24,23,24
0.165584,-0.350791,0.438786,23,22,24
0.167601,-0.350492,0.438411,24,25,25
0.169615,-0.350192,0.438037,23,23,23
0.171625,-0.349894,0.437663,24,23,25
0.173484,-0.349297,0.436917,23,22,22
0.175635,-0.349297,0.436917,23,23,23
0.177634,-0.349000,0.436546,24,23,24
0.179478,-0.348407,0.435804,26,23,21
0.181470,-0.348111,0.435434,22,25,21
0.183147,-0.347227,0.434328,24,23,23
0.184816,-0.346347,0.433227,24,23,21
0.186319,-0.345181,0.431769,25,23,21
0.187970,-0.344312,0.430681,24,22,21
0.189454,-0.343159,0.429239,23,21,23
0.190928,-0.342014,0.427807,24,23,24
0.192393,-0.340877,0.426385,22,25,24
0.193847,-0.339747,0.424972,23,21,23
0.195616,-0.339185,0.424269,25,23,23
0.197378,-0.338625,0.423568,22,23,22
0.199463,-0.338625,0.423568,23,24,23
0.201382,-0.338346,0.423219,25,22,22
0.203466,-0.338346,0.423219,22,23,22
0.204873,-0.337233,0.421827,23,24,24
0.206610,-0.336679,0.421134,25,21,23
0.209027,-0.337233,0.421827,23,21,23
0.211104,-0.337233,0.421827,23,22,23
0.213005,-0.336956,0.421480,23,22,22
0.214551,-0.336127,0.420444,24,21,22
0.216621,-0.336127,0.420444,23,24,21
0.217621,-0.334482,0.418386,23,22,24
0.218967,-0.333394,0.417025,22,22,22
0.220482,-0.332583,0.416011,22,21,20
0.222170,-0.332045,0.415337,21,23,25
0.223671,-0.331240,0.414330,22,23,23
0.224622,-0.329642,0.412332,23,21,21
0.225926,-0.328586,0.411011,22,22,22
0.228315,-0.329113,0.411670,22,21,22
0.230342,-0.329113,0.411670,23,22,21
0.231625,-0.328060,0.410353,23,22,24
0.233833,-0.328323,0.410681,22,21,23
0.235855,-0.328323,0.410681,22,22,19
0.238067,-0.328586,0.411011,22,22,22
0.239898,-0.328323,0.410681,22,20,23
0.241727,-0.328060,0.410353,23,21,20
0.243942,-0.328323,0.410681,23,21,21
0.246161,-0.328586,0.411011,23,21,23
0.248384,-0.328849,0.411340,23,21,24
0.250208,-0.328586,0.411011,21,21,22
0.251828,-0.328060,0.410353,22,22,21
0.253848,-0.328060,0.410353,22,21,20
0.256279,-0.328586,0.411011,22,20,20
0.258925,-0.329378,0.412001,22,22,21
0.261373,-0.329908,0.412664,22,20,20
0.264042,-0.330706,0.413662,22,19,21
0.266940,-0.331776,0.415001,21,22,21
0.269419,-0.332314,0.415674,19,21,21
0.271465,-0.332314,0.415674,21,20,21
0.273512,-0.332314,0.415674,20,21,21
0.275112,-0.331776,0.415001,21,22,20
