x,y,z,r,g,b
-1.635283,-1.396279,1.735842,73,72,74
-1.623989,-1.393921,1.732909,74,73,73
-1.615458,-1.393921,1.732909,77,73,73
-1.605570,-1.392744,1.731447,74,74,74
-1.598394,-1.393921,1.732909,73,71,77
-1.589863,-1.393921,1.732909,80,76,74
-1.585348,-1.397461,1.737311,73,72,71
-1.578131,-1.398646,1.738784,74,72,71
-1.568242,-1.397461,1.737311,70,71,69
-1.559688,-1.397461,1.737311,62,64,63
-1.551135,-1.397461,1.737311,49,51,51
-1.545199,-1.399832,1.740258,34,36,42
-1.536631,-1.399832,1.740258,37,34,39
-1.526768,-1.398646,1.738784,48,47,44
-1.518208,-1.398646,1.738784,63,59,52
-1.510927,-1.399832,1.740258,64,65,55
-1.499815,-1.397461,1.737311,69,66,64
-1.490001,-1.396279,1.735842,63,64,61
-1.481455,-1.396279,1.735842,60,57,53
-1.472909,-1.396279,1.735842,57,53,49
-1.466845,-1.398646,1.738784,51,52,50
-1.459521,-1.399832,1.740258,62,62,53
-1.452185,-1.401020,1.741736,69,71,67
-1.442385,-1.399832,1.740258,75,79,75
-1.433817,-1.399832,1.740258,74,74,73
-1.425250,-1.399832,1.740258,74,70,69
-1.415481,-1.398646,1.738784,69,67,63
-1.404540,-1.396279,1.735842,63,63,60
-1.395994,-1.396279,1.735842,61,58,56
-1.381604,-1.390398,1.728530,71,71,67
-1.367334,-1.384565,1.721279,83,82,81
-1.354315,-1.379935,1.715522,85,83,83
-1.343622,-1.377631,1.712658,78,81,80
-1.336306,-1.378782,1.714089,73,74,76
-1.330089,-1.381090,1.716958,77,73,70
-1.324963,-1.384565,1.721279,77,73,69
-1.324265,-1.392744,1.731447,74,76,72
-1.314631,-1.391570,1.729987,79,76,70
-1.309426,-1.395099,1.734374,75,76,75
-1.306409,-1.401020,1.741736,80,78,78
-1.293442,-1.396279,1.735842,88,84,87
-1.263517,-1.373047,1.706959,90,89,90
-1.258253,-1.376482,1.711230,86,87,91
-1.263528,-1.391570,1.729987,89,88,89
-1.272173,-1.410600,1.753645,93,88,91
-1.263540,-1.410600,1.753645,89,90,90
-1.250630,-1.405794,1.747670,90,89,89
-1.237808,-1.401020,1.741736,90,89,93
-1.219913,-1.390398,1.728530,89,90,91
-1.201283,-1.378782,1.714089,89,90,90
-1.188871,-1.374190,1.708380,90,88,93
-1.185395,-1.379935,1.715522,89,90,93
-1.182884,-1.386892,1.724172,92,92,91
-1.180346,-1.393921,1.732909,91,89,94
-1.175787,-1.398646,1.738784,88,93,95
-1.171197,-1.403403,1.744698,96,92,92
-1.165580,-1.406992,1.749160,91,92,94
-1.154999,-1.404597,1.746183,92,93,96
-1.144454,-1.402211,1.743215,94,93,93
-1.133945,-1.399832,1.740258,95,91,93
-1.119679,-1.392744,1.731447,92,93,93
-1.115863,-1.398646,1.738784,94,94,93
-1.109183,-1.401020,1.741736,95,94,95
-1.102479,-1.403403,1.744698,92,95,97
-1.096688,-1.406992,1.749160,96,93,101
-1.094608,-1.415439,1.759661,98,96,97
-1.085945,-1.415439,1.759661,98,95,99
-1.080060,-1.419090,1.764200,97,95,94
-1.074146,-1.422760,1.768763,95,96,98
-1.069124,-1.427683,1.774883,93,96,96
-1.065918,-1.435132,1.784143,97,96,96
-1.059899,-1.438886,1.788810,94,95,98
-1.053849,-1.442659,1.793500,95,95,94
-1.049606,-1.448992,1.801373,95,96,94
-1.039825,-1.447721,1.799793,95,94,96
-1.027359,-1.442659,1.793500,96,97,97
-1.019420,-1.443921,1.795070,95,98,98
-1.007937,-1.440141,1.790370,94,93,95
-0.995648,-1.435132,1.784143,95,96,96
-0.988583,-1.437632,1.787251,95,94,96
-0.966316,-1.417871,1.762684,95,94,96
-0.959286,-1.420312,1.765718,96,93,94
-0.953876,-1.425218,1.771817,83,83,88
-0.946789,-1.427683,1.774883,69,73,77
-0.926826,-1.410600,1.753645,65,68,71
-0.921342,-1.415439,1.759661,66,70,70
-0.924573,-1.433885,1.782593,92,85,80
-0.939467,-1.470947,1.828667,99,94,90
-0.933793,-1.476209,1.835210,104,94,94
-0.928078,-1.481510,1.841799,95,91,95
-0.920664,-1.484174,1.845112,96,95,96
-0.905068,-1.473573,1.831933,98,96,95
