x,y,z
-0.855012,-0.111251,2.802205
-0.847774,-0.045281,2.786566
-0.846782,-0.047281,2.790033
-0.210446,0.069667,0.828839
-0.207527,-0.002344,0.825681
-0.207460,0.021656,0.825665
-0.207455,0.023656,0.825664
-0.207449,0.025656,0.825662
-0.207444,0.027656,0.825661
-0.207438,0.029656,0.825660
-0.207427,0.033656,0.825657
-0.207422,0.035656,0.825656
-0.207411,0.039656,0.825653
-0.207405,0.041656,0.825652
-0.207653,0.061658,0.826592
-0.207647,0.063658,0.826590
-0.207642,0.065658,0.826589
-0.207636,0.067658,0.826588
-0.207631,0.069658,0.826586
-0.207625,0.071658,0.826585
-0.207620,0.073658,0.826584
-0.207614,0.075658,0.826582
-0.207598,0.081658,0.826578
-0.207851,0.099659,0.827519
-0.207845,0.101659,0.827518
-0.204712,-0.002353,0.823428
-0.204690,0.005647,0.823422
-0.204668,0.013647,0.823417
-0.204662,0.015647,0.823416
-0.204657,0.017647,0.823415
-0.204651,0.019647,0.823413
-0.204645,0.021647,0.823412
-0.204640,0.023647,0.823411
-0.204634,0.025647,0.823409
-0.204629,0.027647,0.823408
-0.204623,0.029647,0.823407
-0.204618,0.031647,0.823405
-0.204607,0.035647,0.823403
-0.204601,0.037647,0.823401
-0.204596,0.039647,0.823400
-0.204590,0.041647,0.823399
-0.204574,0.047647,0.823395
-0.204855,0.055649,0.824342
-0.204849,0.057649,0.824341
-0.204838,0.061649,0.824338
-0.204832,0.063649,0.824337
-0.204827,0.065649,0.824336
-0.204821,0.067649,0.824335
-0.204816,0.069649,0.824333
-0.204810,0.071649,0.824332
-0.204799,0.075649,0.824329
-0.204794,0.077649,0.824328
-0.204788,0.079649,0.824327
-0.204783,0.081649,0.824325
-0.204777,0.083649,0.824324
-0.204772,0.085649,0.824323
-0.204766,0.087649,0.824321
-0.205036,0.099650,0.825266
-0.205031,0.101650,0.825265
-0.205025,0.103650,0.825264
-0.204997,0.113650,0.825257
-0.201853,0.013638,0.821164
-0.201847,0.015638,0.821163
-0.201842,0.017638,0.821161
-0.201836,0.019638,0.821160
-0.201831,0.021638,0.821159
-0.201825,0.023638,0.821157
-0.201820,0.025638,0.821156
-0.201814,0.027638,0.821155
-0.201798,0.033638,0.821151
-0.201792,0.035638,0.821149
-0.202040,0.055639,0.822089
-0.202034,0.057639,0.822088
-0.202029,0.059639,0.822087
-0.202023,0.061639,0.822085
-0.202018,0.063639,0.822084
-0.202012,0.065639,0.822083
-0.202007,0.067639,0.822081
-0.202001,0.069639,0.822080
-0.201990,0.073639,0.822077
-0.202249,0.089641,0.823020
-0.202238,0.093641,0.823017
-0.202232,0.095641,0.823016
-0.202227,0.097641,0.823015
-0.202221,0.099641,0.823013
-0.202216,0.101641,0.823012
-0.199077,-0.000371,0.818920
-0.199071,0.001629,0.818919
-0.199065,0.003629,0.818918
-0.199060,0.005629,0.818916
-0.199032,0.015629,0.818910
-0.199027,0.017629,0.818908
-0.199021,0.019629,0.818907
-0.199258,0.043630,0.819844
-0.199241,0.049630,0.819840
-0.199236,0.051630,0.819839
-0.199225,0.055630,0.819836
-0.199219,0.057630,0.819835
-0.199208,0.061630,0.819832
-0.199462,0.079631,0.820773
-0.199456,0.081631,0.820772
-0.199445,0.085631,0.820769
-0.199439,0.087631,0.820768
-0.199423,0.093631,0.820764
-0.199417,0.095631,0.820763
-0.199406,0.099631,0.820760
-0.194405,0.013610,0.810940
-0.196493,0.025621,0.817603
-0.196482,0.029621,0.817600
-0.196476,0.031621,0.817599
-0.196471,0.033621,0.817598
-0.196465,0.035621,0.817596
-0.196460,0.037621,0.817595
-0.196454,0.039621,0.817594
-0.196449,0.041621,0.817592
-0.196438,0.045621,0.817590
-0.196680,0.067622,0.818528
-0.196674,0.069622,0.818527
-0.196669,0.071622,0.818525
-0.196663,0.073622,0.818524
-0.196658,0.075622,0.818523
-0.196647,0.079622,0.818520
-0.196641,0.081622,0.818519
-0.196636,0.083622,0.818518
-0.196894,0.099624,0.819460
-0.196856,0.113624,0.819451
-0.193755,-0.002389,0.815368
-0.193750,-0.000389,0.815367
-0.193744,0.001611,0.815366
-0.193739,0.003611,0.815364
-0.193733,0.005611,0.815363
-0.193722,0.009611,0.815360
-0.193717,0.011611,0.815359
-0.193711,0.013611,0.815358
-0.193695,0.019611,0.815354
-0.193689,0.021611,0.815352
-0.193684,0.023611,0.815351
-0.193678,0.025611,0.815350
-0.193672,0.027611,0.815348
-0.193667,0.029611,0.815347
-0.193937,0.041613,0.816292
-0.193926,0.045613,0.816289
-0.193920,0.047613,0.816288
-0.193915,0.049613,0.816287
-0.193909,0.051613,0.816286
-0.193904,0.053613,0.816284
-0.193898,0.055613,0.816283
-0.193893,0.057613,0.816282
-0.193887,0.059613,0.816280
-0.193882,0.061613,0.816279
-0.193876,0.063613,0.816278
-0.193871,0.065613,0.816276
-0.193865,0.067613,0.816275
-0.193859,0.069613,0.816274
-0.193843,0.075613,0.816270
-0.194135,0.079614,0.817220
-0.194129,0.081614,0.817219
-0.194124,0.083614,0.817217
-0.194113,0.087614,0.817215
-0.194107,0.089614,0.817213
-0.194102,0.091614,0.817212
-0.194096,0.093614,0.817211
-0.194091,0.095614,0.817209
-0.194085,0.097614,0.817208
-0.194080,0.099614,0.817207
-0.194327,0.119616,0.818147
-0.194305,0.127616,0.818141
-0.191177,0.021604,0.814052
-0.191172,0.023604,0.814051
-0.191166,0.025604,0.814050
-0.191161,0.027604,0.814048
-0.191155,0.029604,0.814047
-0.191150,0.031604,0.814046
-0.191144,0.033604,0.814044
-0.191138,0.035604,0.814043
-0.191127,0.039604,0.814040
-0.191381,0.057605,0.814981
-0.191375,0.059605,0.814980
-0.191370,0.061605,0.814979
-0.191364,0.063605,0.814978
-0.191359,0.065605,0.814976
-0.191353,0.067605,0.814975
-0.191348,0.069605,0.814974
-0.191342,0.071605,0.814972
-0.191337,0.073605,0.814971
-0.191584,0.093607,0.815911
-0.191573,0.097607,0.815908
-0.191568,0.099607,0.815907
-0.191562,0.101607,0.815905
-0.191557,0.103607,0.815904
-0.191551,0.105607,0.815903
-0.191827,0.115608,0.816849
-0.191804,0.123608,0.816844
-0.191788,0.129608,0.816840
-0.191782,0.131608,0.816839
-0.188423,-0.000406,0.811814
-0.188417,0.001594,0.811812
-0.188406,0.005594,0.811810
-0.188401,0.007594,0.811808
-0.188395,0.009594,0.811807
-0.188390,0.011594,0.811806
-0.188384,0.013594,0.811804
-0.188379,0.015594,0.811803
-0.188643,0.029596,0.812747
-0.188638,0.031596,0.812746
-0.188627,0.035596,0.812743
-0.188621,0.037596,0.812742
-0.188616,0.039596,0.812740
-0.188610,0.041596,0.812739
-0.188605,0.043596,0.812738
-0.188599,0.045596,0.812736
-0.188593,0.047596,0.812735
-0.188582,0.051596,0.812732
-0.188847,0.065597,0.813676
-0.188841,0.067597,0.813675
-0.188836,0.069597,0.813673
-0.188830,0.071597,0.813672
-0.188825,0.073597,0.813671
-0.188819,0.075597,0.813669
-0.188814,0.077597,0.813668
-0.188808,0.079597,0.813667
-0.188803,0.081597,0.813666
-0.188797,0.083597,0.813664
-0.188792,0.085597,0.813663
-0.189061,0.097599,0.814608
-0.189056,0.099599,0.814607
-0.189050,0.101599,0.814605
-0.189045,0.103599,0.814604
-0.189039,0.105599,0.814603
-0.189034,0.107599,0.814601
-0.189028,0.109599,0.814600
-0.189023,0.111599,0.814599
-0.189012,0.115599,0.814596
-0.189287,0.125600,0.815542
-0.189265,0.133600,0.815537
-0.189243,0.141600,0.815532
-0.185917,-0.002413,0.810515
-0.185911,-0.000413,0.810514
-0.185906,0.001587,0.810512
-0.185900,0.003587,0.810511
-0.185895,0.005587,0.810510
-0.185889,0.007587,0.810508
-0.185883,0.009587,0.810507
-0.185878,0.011587,0.810506
-0.185867,0.015587,0.810503
-0.185861,0.017587,0.810502
-0.185856,0.019587,0.810500
-0.186109,0.037588,0.811441
-0.186098,0.041588,0.811439
-0.186093,0.043588,0.811437
-0.186087,0.045588,0.811436
-0.186082,0.047588,0.811435
-0.186076,0.049588,0.811433
-0.186071,0.051588,0.811432
-0.186324,0.069590,0.812373
-0.186313,0.073590,0.812371
-0.186307,0.075590,0.812369
-0.186302,0.077590,0.812368
-0.186296,0.079590,0.812367
-0.186291,0.081590,0.812365
-0.186285,0.083590,0.812364
-0.186280,0.085590,0.812363
-0.186274,0.087590,0.812361
-0.186252,0.095590,0.812356
-0.186544,0.099591,0.813306
-0.186538,0.101591,0.813305
-0.186533,0.103591,0.813304
-0.186527,0.105591,0.813303
-0.186522,0.107591,0.813301
-0.186516,0.109591,0.813300
-0.186511,0.111591,0.813299
-0.186505,0.113591,0.813297
-0.186500,0.115591,0.813296
-0.186489,0.119591,0.813293
-0.186483,0.121591,0.813292
-0.186478,0.123591,0.813291
-0.186753,0.133593,0.814237
-0.186736,0.139593,0.814233
-0.186731,0.141593,0.814232
-0.186720,0.145593,0.814229
-0.183405,-0.002421,0.809215
-0.183394,0.001579,0.809212
-0.183388,0.003579,0.809211
-0.183383,0.005579,0.809209
-0.183377,0.007579,0.809208
-0.183372,0.009579,0.809207
-0.183366,0.011579,0.809205
-0.183361,0.013579,0.809204
-0.183355,0.015579,0.809203
-0.183344,0.019579,0.809200
-0.183338,0.021579,0.809199
-0.183333,0.023579,0.809198
-0.183327,0.025579,0.809196
-0.183322,0.027579,0.809195
-0.183300,0.035579,0.809190
-0.183570,0.047580,0.810135
-0.183564,0.049580,0.810133
-0.183559,0.051580,0.810132
-0.183553,0.053580,0.810131
-0.183548,0.055580,0.810129
-0.183542,0.057580,0.810128
-0.183537,0.059580,0.810127
-0.183784,0.079582,0.811067
-0.183779,0.081582,0.811065
-0.183773,0.083582,0.811064
-0.183768,0.085582,0.811063
-0.183762,0.087582,0.811061
-0.184004,0.109583,0.812000
-0.183999,0.111583,0.811998
-0.183993,0.113583,0.811997
-0.183982,0.117583,0.811994
-0.184225,0.139585,0.812933
-0.184219,0.141585,0.812932
-0.180871,0.005571,0.807909
-0.180860,0.009571,0.807907
-0.180854,0.011571,0.807905
-0.180849,0.013571,0.807904
-0.180843,0.015571,0.807903
-0.180838,0.017571,0.807901
-0.180832,0.019571,0.807900
-0.180827,0.021571,0.807899
-0.180821,0.023571,0.807897
-0.181080,0.039573,0.808840
-0.181074,0.041573,0.808839
-0.181069,0.043573,0.808837
-0.181063,0.045573,0.808836
-0.181058,0.047573,0.808835
-0.181052,0.049573,0.808833
-0.181047,0.051573,0.808832
-0.181041,0.053573,0.808831
-0.181036,0.055573,0.808829
-0.181030,0.057573,0.808828
-0.181025,0.059573,0.808827
-0.181019,0.061573,0.808825
-0.181283,0.075574,0.809769
-0.181278,0.077574,0.809768
-0.181272,0.079574,0.809766
-0.181267,0.081574,0.809765
-0.181245,0.089574,0.809760
-0.181239,0.091574,0.809758
-0.181234,0.093574,0.809757
-0.181504,0.105575,0.810702
-0.181493,0.109575,0.810700
-0.181481,0.113575,0.810697
-0.181476,0.115575,0.810696
-0.181470,0.117575,0.810694
-0.181465,0.119575,0.810693
-0.181718,0.137577,0.811634
-0.181713,0.139577,0.811633
-0.181707,0.141577,0.811632
-0.181702,0.143577,0.811630
-0.181696,0.145577,0.811629
-0.178370,0.001563,0.806612
-0.178359,0.005563,0.806609
-0.178353,0.007563,0.806608
-0.178348,0.009563,0.806607
-0.178342,0.011563,0.806605
-0.178337,0.013563,0.806604
-0.178331,0.015563,0.806603
-0.178326,0.017563,0.806601
-0.178320,0.019563,0.806600
-0.178309,0.023563,0.806597
-0.178585,0.033565,0.807544
-0.178573,0.037565,0.807541
-0.178568,0.039565,0.807540
-0.178562,0.041565,0.807538
-0.178557,0.043565,0.807537
-0.178551,0.045565,0.807536
-0.178546,0.047565,0.807534
-0.178540,0.049565,0.807533
-0.178535,0.051565,0.807532
-0.178529,0.053565,0.807531
-0.178524,0.055565,0.807529
-0.178518,0.057565,0.807528
-0.178513,0.059565,0.807527
-0.178783,0.071566,0.808472
-0.178777,0.073566,0.808470
-0.178772,0.075566,0.808469
-0.178766,0.077566,0.808468
-0.178760,0.079566,0.808466
-0.178755,0.081566,0.808465
