x,y,z
-0.236848,-0.138077,1.108279
-0.237437,-0.132074,1.110181
-0.237735,-0.130073,1.111132
-0.234347,-0.142085,1.106981
-0.234039,-0.140086,1.106027
-0.234033,-0.138086,1.106025
-0.234028,-0.136086,1.106024
-0.234022,-0.134086,1.106023
-0.234623,-0.132083,1.107928
-0.234920,-0.130082,1.108879
-0.231218,-0.138096,1.103772
-0.231505,-0.132094,1.104721
-0.232105,-0.130091,1.106626
-0.228701,-0.136103,1.102471
-0.228695,-0.134103,1.102470
-0.228690,-0.132103,1.102468
-0.229290,-0.130100,1.104373
-0.237453,-0.124061,1.130100
-0.225903,-0.142113,1.100222
-0.225897,-0.140113,1.100220
-0.225892,-0.138113,1.100219
-0.225881,-0.134113,1.100217
-0.226178,-0.132111,1.101168
-0.226475,-0.130110,1.102120
-0.234336,-0.124072,1.126894
-0.244256,-0.096023,1.158325
-0.232557,-0.170076,1.127530
-0.223396,-0.144120,1.098923
-0.223391,-0.142120,1.098922
-0.223077,-0.138122,1.097966
-0.223071,-0.136122,1.097965
-0.223066,-0.134122,1.097963
-0.223363,-0.132120,1.098915
-0.223964,-0.130118,1.100820
-0.231218,-0.124082,1.123688
-0.232121,-0.122078,1.126546
-0.232419,-0.120076,1.127497
-0.239926,-0.096040,1.151307
-0.229439,-0.170087,1.124324
-0.229736,-0.168086,1.125276
-0.220262,-0.138131,1.095713
-0.220559,-0.136130,1.096665
-0.220554,-0.134130,1.096663
-0.220548,-0.132130,1.096662
-0.221149,-0.130127,1.098567
-0.228403,-0.124092,1.121435
-0.229306,-0.122087,1.124293
-0.236808,-0.096051,1.148101
-0.240438,-0.094033,1.159535
-0.226635,-0.174096,1.122074
-0.226326,-0.172098,1.121119
-0.226921,-0.168095,1.123023
-0.232633,-0.152067,1.141119
-0.218378,-0.146136,1.096324
-0.218070,-0.144138,1.095370
-0.217756,-0.140139,1.094414
-0.217750,-0.138139,1.094413
-0.217739,-0.134139,1.094410
-0.218334,-0.130136,1.096313
-0.219540,-0.128130,1.100124
-0.225285,-0.124102,1.118229
-0.226188,-0.122098,1.121086
-0.226486,-0.120096,1.122038
-0.226767,-0.112095,1.122986
-0.225549,-0.110101,1.119172
-0.226442,-0.104096,1.122028
-0.233387,-0.096063,1.143942
-0.227239,0.045909,1.125740
-0.223820,-0.174106,1.119821
-0.223815,-0.172106,1.119819
-0.224112,-0.170104,1.120771
-0.224409,-0.168103,1.121723
-0.227433,-0.166088,1.131252
-0.224095,-0.164104,1.120767
-0.223781,-0.160106,1.119811
-0.215563,-0.146145,1.094071
-0.215255,-0.144147,1.093117
-0.215249,-0.142147,1.093115
-0.214032,-0.140153,1.089302
-0.214935,-0.138148,1.092160
-0.214930,-0.136148,1.092158
-0.215227,-0.134147,1.093110
-0.215222,-0.132147,1.093109
-0.215822,-0.130144,1.095013
-0.216725,-0.128139,1.097871
-0.219749,-0.126125,1.107400
-0.222773,-0.124110,1.116929
-0.223374,-0.122107,1.118833
-0.223671,-0.120106,1.119785
-0.223968,-0.118104,1.120737
-0.223963,-0.116104,1.120735
-0.223957,-0.114104,1.120734
-0.223952,-0.112104,1.120733
-0.223946,-0.110104,1.120731
-0.223632,-0.106106,1.119776
-0.223924,-0.102104,1.120726
-0.224525,-0.100101,1.122631
-0.230270,-0.096073,1.140735
-0.233294,-0.094059,1.150264
-0.225863,-0.036094,1.127354
-0.224893,-0.014098,1.124480
-0.223521,0.043896,1.120630
-0.224425,0.045900,1.123487
-0.224722,0.047902,1.124439
-0.224380,0.061900,1.123477
-0.224375,0.063900,1.123475
-0.220697,-0.172116,1.116613
-0.220994,-0.170115,1.117565
-0.224624,-0.168097,1.129000
-0.221286,-0.166114,1.118515
-0.231884,-0.164062,1.151869
-0.213051,-0.146153,1.092771
-0.212743,-0.144155,1.091816
-0.212737,-0.142155,1.091815
-0.212429,-0.140156,1.090861
-0.212423,-0.138156,1.090860
-0.212418,-0.136156,1.090858
-0.212412,-0.134156,1.090857
-0.212710,-0.132155,1.091809
-0.213007,-0.130153,1.092760
-0.213910,-0.128149,1.095618
-0.216934,-0.126134,1.105147
-0.219958,-0.124119,1.114676
-0.220559,-0.122116,1.116580
-0.220856,-0.120115,1.117532
-0.221154,-0.118114,1.118484
-0.220845,-0.116115,1.117529
-0.221143,-0.114114,1.118481
-0.221137,-0.112114,1.118480
-0.220818,-0.106115,1.117523
-0.220812,-0.104115,1.117521
-0.221109,-0.102114,1.118473
-0.221710,-0.100111,1.120378
-0.222916,-0.098105,1.124188
-0.226849,-0.096086,1.136576
-0.230176,-0.094070,1.147058
-0.229564,-0.092072,1.145151
-0.222750,-0.038105,1.124149
-0.221230,-0.036112,1.119382
-0.222739,-0.034105,1.124146
-0.213755,0.037853,1.096461
-0.220706,0.043886,1.118376
-0.221307,0.045889,1.120281
-0.221604,0.047891,1.121233
-0.220993,0.049888,1.119326
-0.221885,0.055892,1.122181
-0.221880,0.057892,1.122179
-0.221566,0.061891,1.121224
-0.221560,0.063891,1.121222
-0.221858,0.065892,1.122174
-0.218190,-0.174124,1.115314
-0.218179,-0.170124,1.115312
-0.218477,-0.168123,1.116264
-0.218163,-0.164124,1.115308
-0.216945,-0.162130,1.111494
-0.218146,-0.158124,1.115304
-0.210539,-0.146161,1.091471
-0.210231,-0.144162,1.090516
-0.209922,-0.142164,1.089562
-0.209917,-0.140164,1.089561
