x,y,z
-0.25097,0.09253,1.0447
-0.25097,0.09453,1.0447
-0.25097,0.09653,1.0442
-0.25097,0.09853,1.0442
-0.25097,0.10053,1.0437
-0.25097,0.10253,1.0427
-0.25097,0.10453,1.0417
-0.25097,0.10653,1.0387
-0.25097,0.10853,1.0187
-0.25097,0.11053,1.0167
-0.25097,0.11253,1.0152
-0.25097,0.11453,1.0152
-0.25097,0.11653,1.0157
-0.25097,0.11853,1.0202
-0.24897,-0.24947,1.0937
-0.24897,-0.24747,1.0922
-0.24897,-0.24547,1.0917
-0.24897,-0.24347,1.0922
-0.24897,-0.24147,1.0927
-0.24897,-0.23947,1.0927
-0.24897,-0.23747,1.0917
-0.24897,-0.23547,1.0917
-0.24897,-0.23347,1.0907
-0.24897,-0.23147,1.0902
-0.24897,-0.22547,1.0667
-0.24897,-0.22347,1.0647
-0.24897,-0.22147,1.0632
-0.24897,-0.21947,1.0627
-0.24897,-0.21747,1.0612
-0.24897,-0.21547,1.0607
-0.24897,-0.21347,1.0602
-0.24897,-0.21147,1.0602
-0.24897,-0.20947,1.0612
-0.24897,-0.20747,1.0617
-0.24897,-0.20547,1.0622
-0.24897,-0.20347,1.0657
-0.24897,-0.20147,1.0727
-0.24897,-0.19947,1.0797
-0.24897,-0.19747,1.0822
-0.24897,-0.19547,1.0837
-0.24897,-0.19347,1.0837
-0.24897,-0.19147,1.0837
-0.24897,-0.18947,1.0832
-0.24897,-0.18747,1.0832
-0.24897,-0.18547,1.0832
-0.24897,-0.18347,1.0827
-0.24897,-0.18147,1.0812
-0.24897,-0.17947,1.0802
-0.24897,-0.17747,1.0802
-0.24897,-0.17547,1.0812
-0.24897,-0.17347,1.0832
-0.24897,-0.17147,1.0857
-0.24897,-0.16947,1.0917
-0.24897,-0.16747,1.0987
-0.24897,-0.16547,1.1037
-0.24897,-0.16347,1.1062
-0.24897,-0.16147,1.1077
-0.24897,-0.15947,1.1082
-0.24897,-0.15747,1.1067
-0.24897,-0.15547,1.1067
-0.24897,-0.15347,1.1062
-0.24897,-0.15147,1.1057
-0.24897,-0.14947,1.1047
-0.24897,-0.14747,1.1042
-0.24897,-0.14547,1.1032
-0.24897,-0.14347,1.1032
-0.24897,-0.14147,1.1022
-0.24897,-0.13947,1.1012
-0.24897,-0.13747,1.1007
-0.24897,-0.13547,1.1002
-0.24897,-0.13347,1.0987
-0.24897,-0.13147,1.0972
-0.24897,-0.12947,1.0962
-0.24897,-0.12747,1.0932
-0.24897,-0.12547,1.0907
-0.24897,-0.12347,1.0877
-0.24897,-0.12147,1.0857
-0.24897,-0.11947,1.0832
-0.24897,-0.11747,1.0802
-0.24897,-0.11547,1.0792
-0.24897,-0.11347,1.0777
-0.24897,-0.11147,1.0767
-0.24897,-0.10947,1.0762
-0.24897,-0.10747,1.0757
-0.24897,-0.10547,1.0752
-0.24897,-0.10347,1.0747
-0.24897,-0.10147,1.0742
-0.24897,-0.09947,1.0737
-0.24897,-0.09747,1.0737
-0.24897,-0.09547,1.0727
-0.24897,-0.09347,1.0722
-0.24897,-0.09147,1.0717
-0.24897,-0.08947,1.0707
-0.24897,-0.08747,1.0702
-0.24897,-0.08547,1.0692
-0.24897,-0.08347,1.0682
-0.24897,-0.08147,1.0662
-0.24897,-0.07947,1.0652
-0.24897,-0.07747,1.0652
-0.24897,-0.07547,1.0652
-0.24897,-0.07347,1.0662
-0.24897,-0.07147,1.0657
-0.24897,-0.06947,1.0657
-0.24897,-0.06747,1.0647
-0.24897,-0.06547,1.0642
-0.24897,-0.06347,1.0637
-0.24897,-0.06147,1.0617
-0.24897,-0.05947,1.0427
-0.24897,-0.05747,1.0387
-0.24897,-0.05547,1.0367
-0.24897,-0.05347,1.0357
-0.24897,-0.05147,1.0352
-0.24897,-0.04947,1.0352
-0.24897,-0.04747,1.0357
-0.24897,-0.04547,1.0357
-0.24897,-0.04347,1.0367
-0.24897,-0.04147,1.0372
-0.24897,-0.03947,1.0392
-0.24897,-0.03747,1.0422
-0.24897,-0.03547,1.0482
-0.24897,-0.03347,1.0552
-0.24897,-0.03147,1.0582
-0.24897,-0.02947,1.0597
-0.24897,-0.02747,1.0592
-0.24897,-0.02547,1.0597
-0.24897,-0.02347,1.0592
-0.24897,-0.02147,1.0592
-0.24897,-0.01947,1.0592
-0.24897,-0.01747,1.0592
-0.24897,-0.01547,1.0572
-0.24897,-0.01347,1.0567
-0.24897,-0.01147,1.0567
-0.24897,-0.00947,1.0577
-0.24897,-0.00747,1.0587
-0.24897,-0.00547,1.0622
-0.24897,-0.00347,1.0672
-0.24897,-0.00147,1.0742
-0.24897,0.00053,1.0792
-0.24897,0.00253,1.0822
-0.24897,0.00453,1.0832
-0.24897,0.00653,1.0832
-0.24897,0.00853,1.0827
-0.24897,0.01053,1.0822
-0.24897,0.01253,1.0822
-0.24897,0.01453,1.0817
-0.24897,0.01653,1.0802
-0.24897,0.01853,1.0797
-0.24897,0.02053,1.0792
-0.24897,0.02253,1.0777
-0.24897,0.02453,1.0777
-0.24897,0.02653,1.0772
-0.24897,0.02853,1.0767
-0.24897,0.03053,1.0757
-0.24897,0.03253,1.0757
-0.24897,0.03453,1.0742
-0.24897,0.03653,1.0717
-0.24897,0.03853,1.0697
-0.24897,0.04053,1.0677
-0.24897,0.04253,1.0652
-0.24897,0.04453,1.0627
-0.24897,0.04653,1.0602
-0.24897,0.04853,1.0582
-0.24897,0.05053,1.0557
-0.24897,0.05253,1.0552
-0.24897,0.05453,1.0537
-0.24897,0.05653,1.0532
-0.24897,0.05853,1.0527
-0.24897,0.06053,1.0522
-0.24897,0.06253,1.0517
-0.24897,0.06453,1.0507
-0.24897,0.06653,1.0502
-0.24897,0.06853,1.0497
-0.24897,0.07053,1.0492
-0.24897,0.07253,1.0487
-0.24897,0.07453,1.0482
-0.24897,0.07653,1.0472
-0.24897,0.07853,1.0467
-0.24897,0.08053,1.0462
-0.24897,0.08253,1.0447
-0.24897,0.08453,1.0427
-0.24897,0.08653,1.0422
-0.24897,0.08853,1.0417
-0.24897,0.09053,1.0422
-0.24897,0.09253,1.0432
-0.24897,0.09453,1.0427
-0.24897,0.09653,1.0427
-0.24897,0.09853,1.0417
-0.24897,0.10053,1.0407
-0.24897,0.10253,1.0407
-0.24897,0.10453,1.0397
-0.24897,0.10653,1.0352
-0.24897,0.10853,1.0167
-0.24897,0.11053,1.0142
-0.24897,0.11253,1.0132
-0.24897,0.11453,1.0132
-0.24897,0.11653,1.0142
-0.24697,-0.24947,1.0902
-0.24697,-0.24747,1.0897
-0.24697,-0.24547,1.0892
-0.24697,-0.24347,1.0897
-0.24697,-0.24147,1.0892
-0.24697,-0.23947,1.0897
-0.24697,-0.23747,1.0887
-0.24697,-0.23547,1.0887
-0.24697,-0.23347,1.0877
-0.24697,-0.23147,1.0872
-0.24697,-0.22547,1.0647
-0.24697,-0.22347,1.0622
-0.24697,-0.22147,1.0617
-0.24697,-0.21947,1.0602
-0.24697,-0.21747,1.0592
-0.24697,-0.21547,1.0587
-0.24697,-0.21347,1.0587
-0.24697,-0.21147,1.0587
-0.24697,-0.20947,1.0592
-0.24697,-0.20747,1.0597
-0.24697,-0.20547,1.0617
-0.24697,-0.20347,1.0647
-0.24697,-0.20147,1.0717
-0.24697,-0.19947,1.0772
-0.24697,-0.19747,1.0797
-0.24697,-0.19547,1.0807
-0.24697,-0.19347,1.0812
-0.24697,-0.19147,1.0807
-0.24697,-0.18947,1.0807
-0.24697,-0.18747,1.0807
-0.24697,-0.18547,1.0807
-0.24697,-0.18347,1.0797
-0.24697,-0.18147,1.0787
-0.24697,-0.17947,1.0787
-0.24697,-0.17747,1.0782
-0.24697,-0.17547,1.0792
-0.24697,-0.17347,1.0812
-0.24697,-0.17147,1.0842
-0.24697,-0.16947,1.0897
-0.24697,-0.16747,1.0962
-0.24697,-0.16547,1.1012
-0.24697,-0.16347,1.1032
-0.24697,-0.16147,1.1042
-0.24697,-0.15947,1.1047
-0.24697,-0.15747,1.1042
-0.24697,-0.15547,1.1037
-0.24697,-0.15347,1.1032
-0.24697,-0.15147,1.1017
-0.24697,-0.14947,1.1012
-0.24697,-0.14747,1.1007
-0.24697,-0.14547,1.1002
-0.24697,-0.14347,1.0992
-0.24697,-0.14147,1.0992
-0.24697,-0.13947,1.0982
-0.24697,-0.13747,1.0972
-0.24697,-0.13547,1.0972
-0.24697,-0.13347,1.0957
-0.24697,-0.13147,1.0942
-0.24697,-0.12947,1.0922
-0.24697,-0.12747,1.0897
-0.24697,-0.12547,1.0872
-0.24697,-0.12347,1.0847
-0.24697,-0.12147,1.0822
-0.24697,-0.11947,1.0802
-0.24697,-0.11747,1.0777
-0.24697,-0.11547,1.0757
-0.24697,-0.11347,1.0747
-0.24697,-0.11147,1.0742
-0.24697,-0.10947,1.0737
-0.24697,-0.10747,1.0732
-0.24697,-0.10547,1.0727
-0.24697,-0.10347,1.0722
-0.24697,-0.10147,1.0717
-0.24697,-0.09947,1.0707
-0.24697,-0.09747,1.0702
-0.24697,-0.09547,1.0697
-0.24697,-0.09347,1.0687
-0.24697,-0.09147,1.0687
-0.24697,-0.08947,1.0682
-0.24697,-0.08747,1.0677
-0.24697,-0.08547,1.0667
-0.24697,-0.08347,1.0647
-0.24697,-0.08147,1.0637
-0.24697,-0.07947,1.0632
-0.24697,-0.07747,1.0622
