x,y,z
-0.163484,-0.024483,0.799186
-0.163478,-0.022483,0.799184
-0.163473,-0.020483,0.799183
-0.163462,-0.016483,0.799180
-0.163451,-0.012483,0.799178
-0.163445,-0.010483,0.799176
-0.163440,-0.008483,0.799175
-0.163434,-0.006483,0.799174
-0.163429,-0.004483,0.799172
-0.163704,0.005519,0.800119
-0.163698,0.007519,0.800118
-0.163626,0.143520,0.800981
-0.160312,-0.114495,0.795086
-0.160284,-0.104495,0.795079
-0.160273,-0.100495,0.795077
-0.160262,-0.096495,0.795074
-0.160449,-0.054494,0.795999
-0.160443,-0.052494,0.795998
-0.160394,-0.034494,0.795986
-0.160388,-0.032494,0.795985
-0.160361,-0.022494,0.795978
-0.160647,-0.016492,0.796927
-0.160630,-0.010492,0.796923
-0.160625,-0.008492,0.796922
-0.160619,-0.006492,0.796921
-0.160614,-0.004492,0.796919
-0.160608,-0.002492,0.796918
-0.160603,-0.000492,0.796917
-0.160884,0.007509,0.797864
-0.160878,0.009509,0.797863
-0.161142,0.023511,0.798807
-0.160558,0.125509,0.797786
-0.157453,-0.208506,0.791942
-0.157448,-0.206506,0.791941
-0.157662,-0.174504,0.792873
-0.157607,-0.154504,0.792859
-0.157574,-0.142504,0.792851
-0.157508,-0.118504,0.792836
-0.157464,-0.102504,0.792825
-0.157739,-0.092503,0.793771
-0.157706,-0.080503,0.793763
-0.157700,-0.078503,0.793762
-0.157695,-0.076503,0.793761
-0.157689,-0.074503,0.793759
-0.157678,-0.070503,0.793757
-0.157662,-0.064503,0.793753
-0.157651,-0.060503,0.793750
-0.157634,-0.054503,0.793746
-0.157601,-0.042503,0.793738
-0.157876,-0.032501,0.794685
-0.157860,-0.026501,0.794681
-0.157854,-0.024501,0.794679
-0.157843,-0.020501,0.794677
-0.157838,-0.018501,0.794675
-0.157827,-0.014501,0.794673
-0.157821,-0.012501,0.794671
-0.157816,-0.010501,0.794670
-0.157810,-0.008501,0.794669
-0.157793,-0.002501,0.794665
-0.157788,-0.000501,0.794664
-0.157782,0.001499,0.794662
-0.158080,0.003500,0.795614
-0.158069,0.007500,0.795611
-0.158063,0.009500,0.795610
-0.158058,0.011500,0.795609
-0.157462,0.117499,0.794586
-0.157754,0.121500,0.795536
-0.158007,0.139501,0.796477
-0.154919,-0.200514,0.790637
-0.154897,-0.192514,0.790631
-0.154892,-0.190514,0.790630
-0.154886,-0.188514,0.790629
-0.154864,-0.180514,0.790623
-0.154858,-0.178514,0.790622
-0.154853,-0.176514,0.790621
-0.154847,-0.174514,0.790619
-0.154842,-0.172514,0.790618
-0.154836,-0.170514,0.790617
-0.154831,-0.168514,0.790615
-0.154770,-0.146514,0.790601
-0.154765,-0.144514,0.790600
-0.154759,-0.142514,0.790598
-0.154754,-0.140514,0.790597
-0.154737,-0.134514,0.790593
-0.154935,-0.096512,0.791521
-0.154930,-0.094512,0.791520
-0.154919,-0.090512,0.791517
-0.154913,-0.088512,0.791516
-0.154902,-0.084512,0.791513
-0.154896,-0.082512,0.791512
-0.154891,-0.080512,0.791510
-0.154885,-0.078512,0.791509
-0.154880,-0.076512,0.791508
-0.154874,-0.074512,0.791506
-0.154869,-0.072512,0.791505
-0.154863,-0.070512,0.791504
-0.154841,-0.062512,0.791498
-0.154830,-0.058512,0.791496
-0.154825,-0.056512,0.791494
-0.155078,-0.038511,0.792436
-0.155061,-0.032511,0.792432
-0.155056,-0.030511,0.792430
-0.155050,-0.028511,0.792429
-0.155045,-0.026511,0.792428
-0.155034,-0.022511,0.792425
-0.155028,-0.020511,0.792424
-0.155017,-0.016511,0.792421
-0.155282,-0.002509,0.793365
-0.155276,-0.000509,0.793363
-0.155270,0.001491,0.793362
-0.152582,0.097479,0.785675
-0.152874,0.101480,0.786625
-0.153761,0.109485,0.789479
-0.154058,0.111486,0.790430
-0.154647,0.117489,0.792332
-0.154939,0.121491,0.793283
-0.155231,0.125492,0.794233
-0.155226,0.127492,0.794232
-0.155220,0.129492,0.794231
-0.155215,0.131492,0.794229
-0.155209,0.133492,0.794228
-0.155204,0.135492,0.794227
-0.155198,0.137492,0.794225
-0.155193,0.139492,0.794224
-0.155187,0.141492,0.794223
-0.155181,0.143492,0.794221
-0.152132,-0.210523,0.788390
-0.152126,-0.208523,0.788389
-0.152121,-0.206523,0.788387
-0.152115,-0.204523,0.788386
-0.152110,-0.202523,0.788385
-0.152104,-0.200523,0.788383
-0.152099,-0.198523,0.788382
-0.152093,-0.196523,0.788381
-0.152088,-0.194523,0.788379
-0.152082,-0.192523,0.788378
-0.152077,-0.190523,0.788377
-0.152071,-0.188523,0.788376
-0.152066,-0.186523,0.788374
-0.152060,-0.184523,0.788373
-0.152055,-0.182523,0.788372
-0.152016,-0.168523,0.788362
-0.152247,-0.142521,0.789298
-0.152198,-0.124521,0.789286
-0.152192,-0.122521,0.789285
-0.152181,-0.118521,0.789282
-0.152175,-0.116521,0.789281
-0.152170,-0.114521,0.789280
-0.152159,-0.110521,0.789277
-0.152131,-0.100521,0.789270
-0.152126,-0.098521,0.789269
-0.152120,-0.096521,0.789268
-0.152104,-0.090521,0.789264
-0.152098,-0.088521,0.789262
-0.152346,-0.068520,0.790202
-0.152313,-0.056520,0.790194
-0.152296,-0.050520,0.790190
-0.152500,-0.014519,0.791120
-0.152489,-0.010519,0.791117
-0.152483,-0.008519,0.791116
-0.152478,-0.006519,0.791114
-0.152467,-0.002519,0.791112
-0.152742,0.007483,0.792058
-0.150362,0.101473,0.785325
-0.150654,0.105474,0.786275
-0.150951,0.107476,0.787227
-0.152422,0.123483,0.791981
-0.152416,0.125483,0.791980
-0.152675,0.141484,0.792922
-0.149554,-0.186531,0.787074
-0.149548,-0.184531,0.787073
-0.149515,-0.172531,0.787065
-0.149477,-0.158531,0.787056
-0.149427,-0.140531,0.787044
-0.149603,-0.094529,0.787966
-0.149575,-0.084529,0.787960
-0.149570,-0.082529,0.787958
-0.149564,-0.080529,0.787957
-0.149559,-0.078529,0.787956
-0.149553,-0.076529,0.787954
-0.149548,-0.074529,0.787953
-0.149542,-0.072529,0.787952
-0.149537,-0.070529,0.787950
-0.149531,-0.068529,0.787949
-0.149526,-0.066529,0.787948
-0.149514,-0.062529,0.787945
-0.149735,-0.032528,0.788878
-0.149729,-0.030528,0.788877
-0.149724,-0.028528,0.788876
-0.149718,-0.026528,0.788874
-0.149966,-0.006526,0.789814
-0.149960,-0.004526,0.789813
